V1,V2,V3,V4
0.221241368596079,4.45512595698541,1.1347683438996,1.37830080026801
3.81021551087561,6.09827920009203,6.98595139874095,3.70789609886148
6.25045542135077,6.0044104807942,11.6268754955634,6.40621511708786
1.78273769068232,2.33033215902743,1.27510876615528,2.00826116414598
5.32664609020054,3.47155167678202,7.39635785833139,2.58494269867075
-1.84759168928197,-2.87207304034789,-1.39934606352565,-3.23827701048595
-1.125197990972,-2.32192504575233,3.34474438571942,-2.14455345886992
-14.1100049029672,-16.2904290979392,-10.9265507811388,-13.899165195435
-8.23911720102596,-2.268376996328,-8.79871882972931,-13.3717187451466
-3.86134008842928,-0.77555020135702,-0.462928950568584,4.57800906615189
11.1319484628343,3.99036467912103,8.69275015049149,7.78482898119716
-0.854313819459888,-3.19590231084514,-1.96754031299375,-0.542924909145605
-1.31941679404083,-1.38931892138889,9.65685929896472,0.618544429478764
0.106994560166795,3.72017814491767,4.99810255182972,1.34559940239072
0.0998004362085176,1.99871751409079,5.18314523706948,2.10543688989878
4.24626099338929,7.95841141066117,10.2795279455192,8.20356087895073
4.97912530329315,-1.51846887118424,1.5352752813217,-1.71920127230566
-1.69730952667452,0.209661110216977,3.19449063565156,7.41349726258461
-2.26850218039948,-3.0098846065685,2.87040017193468,-0.118083416919694
4.74576781072237,3.20512596628267,5.474841240849,2.58110735018898
3.07893387922137,-1.94705574246888,0.140244200788814,0.349698774461173
-0.999653290495615,-2.94296835103375,-1.89884668320043,3.55217780098476
14.1560622859632,1.98780716309748,5.39072875478861,10.1844539667644
16.1059068146947,10.4218563942198,14.4241058185269,12.2754345562045
8.08891270082298,-0.766989738314749,-6.72599876444591,-0.50813355627813
11.7774273109446,7.19779184897813,1.52488379412926,10.0518728842518
0.80373921819107,-0.329110788605067,1.26142751134703,-4.99001803069301
-3.5925567680592,-0.878609946313121,-5.91635744776775,-5.14582437045771
-4.58896420301175,-2.7367865600896,1.22914581704548,-1.2784980237187
-5.85199319024692,-6.42147067187721,-5.29100682542692,-6.51076447139631
0.183373458476858,-0.105977178708121,2.88302293429596,1.18214121574533
4.48052787377642,8.72389589976644,0.495857998333072,-1.75322969322826
-0.396916396930537,2.3684404747897,-2.86725963394974,-3.83778459917736
-8.61789469161454,-6.75738566356841,4.86678835799984,3.19300360445023
-5.5592412563478,2.41026552090806,-6.57377796637956,-6.64349487338375
-5.15408590432999,3.41505581966173,5.30363587775711,1.12286342655688
9.73620110339464,3.06925532381633,5.31253673127416,10.850600161596
-10.111044512936,-0.912666438530106,1.12766067471052,-4.02425213765214
-5.38404784922769,-3.51279535772994,-6.84972153694261,-9.57194639292293
2.87804099886999,7.87348923301538,12.2955980535238,14.4968223223305
3.23999545526858,5.82067611332516,3.36731989658963,-0.165876784680722
-9.70652103223212,-4.13556740620801,-2.72181022050147,-4.81722677753806
-8.03593239962775,-5.24338935295928,-2.94602975764568,-0.655842530695306
-7.24795318309065,-1.91027170978633,-5.86362465002929,-6.47033096375438
-13.9783563032793,-6.56883136426293,-13.9612568118849,-9.79672675298678
8.61067947460521,6.52962634109085,10.24687710547,10.1389126136999
17.0348834638644,6.966278291306,11.3927081909359,10.6698855665483
